error;hits;misses;partials
0;1000;0;0
1;1000;0;0
2;1000;0;0
3;1000;0;0
4;1000;0;0
5;1000;0;0
6;1000;0;0
7;1000;0;0
8;1000;0;0
9;1000;0;0
10;1000;0;0
11;1000;0;0
12;1000;0;0
13;1000;0;0
14;1000;0;0
15;1000;0;0
16;1000;0;0
17;1000;0;0
18;999;1;0
19;1000;0;0
20;1000;0;0
21;999;1;0
22;999;1;0
23;1000;0;0
24;998;2;0
25;993;7;0
26;997;2;1
27;996;4;0
28;998;2;0
29;998;2;0
30;994;6;0
